"","Business","addresses","Zip.Code","Care.Type","long","lat","geoAddress"
"323","Herriman High School Child Care Lab","11917 S Mustang Trail Way, Herriman, Utah",84096,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"324","Nataleen Johnson Daycare","1415 Parliament Avenue, West Valley City, Utah",84123,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"325","Stacie's Hopes-n-Dreams Childcare",", Magna, Utah",84044,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"326","The Children's Center","350 400 E, Salt Lake City, Utah",NA,"Other Facility",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"327","Family Licensed","7999 South 830 East, Sandy, Utah",84094,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"328","Carol Jones Daycare","644 S 600 E, Salt Lake City, Utah",84102,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"329","Family, Friends & Neighbor","690 E 200 S, Price, Utah",84501,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"330","Love 2 Learn","13708 S Manas, Herriman, Utah",84096,"Exempt In Home",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"331","First Steps","1076 Ironwood Road, Erda, Utah",84074,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"332","Family Licensed","6570 West Snow Hollow Drive, West Valley City, Utah",84128,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"333","Camp Snowbird Hourly Program","P.O. Box 929000, Snowbird, Utah",84092,"Hourly Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"334","Camp Snowbird Out of School Time Program","9320 East Cliff Lodge Road, Snowbird, Utah",84092,"Licensed Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"335","Lied Boys & Girls Club Youth Program","PO Box 57071, Murray, Utah",84157,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"336","Residential Certified","2956 S Losser Drive, West Valley City, Utah",84119,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"337","Canyons 21st Century Community Learning Center - East Midvale Elementary School","6990 S 300 E, Midvale, Utah",84047,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"338","Residential Certified","1917 W 4100 S, Taylorsville, Utah",84118,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"339","Family Licensed","4128 S Sunny Park Lane, West Valley City, Utah",84119,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"340","Family, Friends & Neighbor","4607 Namba Way, Murray, Utah",84107,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"341","ASUU Child Care","225 South 1400 East, Salt Lake City, Utah",84112,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"342","SLCAP Head Start - Midvalley Elementary School","217 E 7800 S, Midvale, Utah",84047,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"343","SLCAP Head Start - JRR","1307 S 900 W, Salt Lake City, Utah",84104,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"344","SLCAP Head Start/Early Head Start - Horizonte","1234 South Main Street, Salt Lake City, Utah",84101,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"345","SLCAP Head Start- Early Childhood Education Center","1307 South 900 West, Salt Lake City, Utah",84104,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"346","Family, Friends & Neighbor","1420 South 900 West, Salt Lake City, Utah",84104,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"347","Hunter Library","4740 W 4100 S, West Valley City, Utah",84120,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"348","James E. Moss Elementary School","4399 South 500 East, Salt Lake City, Utah",84107,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"349","Promise South Salt Lake - Kearns Saint Ann","450 E 2100 S, South Salt Lake, Utah",84115,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"350","Pretty Butterflies","P.O. Box 623, West Jordan, Utah",84084,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"351","Alyce's Daycare","2851 West Minuet Ave, West Valley City, Utah",84119,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"352","Residential Certified","1575 East 8600 South, Sandy, Utah",84093,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"353","Residential Certified","8770 South 1095 West, West Jordan, Utah",84088,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"354","Residential Certified","2152 Theresa Cove, West Valley City, Utah",84119,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"355","Sproutlets Academy","6259 Clover Creek Ln, West Valley City, Utah",84118,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"356","Family Licensed","6293 South Mt. Vista Drive, Taylorsville, Utah",84129,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"357","Ameris Academy Inc.","1533 W Dowry Court B, Taylorsville, Utah",84123,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"358","Family Licensed","5144 West Park Vista Court, West Valley  City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"359","Family Licensed","3377 South Park Vista Drive, West Valley City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"360","Deborah's Daycare","1300 South 1200 West, Salt Lake City, Utah",84104,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"361","Family Licensed","8539 S 1275 W, West Jordan, Utah",84088,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"362","Holly's Daycare","8390 Susan Way, West Jordan, Utah",84088,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"363","Residential Certified","9342 Maison Drive, Sandy, Utah",84093,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"364","Family Licensed","4734 S. Hanauer Street, Murray, Utah",84107,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"365","Family Licensed","6349 West King Valley Road, West Valley City, Utah",84128,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"366","Family Licensed","8224 South Old Bingham Highway, West Jordan, Utah",84088,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"367","Family Licensed","8560 South Shulsen Ln., West Jordan, Utah",84088,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"368","Promise South Salt Lake - Historic Scott School","3238 South 500 East, Salt Lake City, Utah",84115,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"369","Promise South Salt Lake - Moss Elementary","4399 500 E, Salt Lake City, Utah",84107,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"370","Aunt Lorretta's Infant/Child-Care","140 East 5600 South, Murray, Utah",84107,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"371","Family Licensed","1221 North Sonata Street, Salt Lake City, Utah",84116,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"372","Family Licensed","2288 W Williamsburg circle, West Jordan, Utah",84088,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"373","Boo Boo's Child Care","2904 W 5245 S, Taylorsville, Utah",84129,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"374","Little Inspirations Child Care","5932 West Champlain Way, Herriman, Utah",84096,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"375","Family Licensed","5350 West 4100 South, West Valley City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"376","Kujang Kuteng","4438 S 120 W, Murray, Utah",84107,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"377","Master Kwon's World Class","3909 Highland Drive, Holladay, Utah",84124,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"378","Millcreek Activity Center","4405 South 1025 East, Salt Lake City, Utah",84124,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"379","Family Licensed","675 South 900 East, Salt Lake City, Utah",84102,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"380","Copper Hills High School Child Care Lab","5445 W New Bingham Highway, West Jordan, Utah",84088,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"381","Kearns Recreation Center","5670 South 4800 West, Kearns, Utah",84118,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"382","Family, Friends & Neighbor","6540 S Stanwick  Rd, Cottonwood Heights, Utah",84121,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"383","Hannah Larsen Daycare","1312 West Melanie Place Lane, West Jordan, Utah",84088,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"384","Little Critters Learning Center","3879 West 7800 South, West Jordan, Utah",84088,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"385","Family Licensed","4468 West Losee Drive, West Valley City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"386","Pleasant Green Elementary Afterschool Program","177 W Price Ave, South Salt Lake City, Utah",84115,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"387","Family Licensed","7509 South 2840 West, West Jordan, Utah",84084,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"388","Northwest Child Learning Center","1300 West 300 North, Salt Lake City, Utah",84116,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"389","Sunny's Side Daycare","13671 Times Court, Herriman, Utah",84096,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"390","YWCA Children's Advocacy and Intervention Teen Program","322 East 300 South, Salt Lake City, Utah",84111,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"391","St. Francis Xavier Catholic School","4501 W 5215 S, Kearns, Utah",84118,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"392","Family Licensed","249 Thornberry Drive, Draper, Utah",84020,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"393","D and K Day Care/Preschool","12082 South Kenmore Circle, Riverton, Utah",84065,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"394","Cove Care","4254 Sunset View Drive, Salt Lake City, Utah",84124,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"395","Family Licensed","4006 South 4000 West, West Valley City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"396","Family Licensed","5741 West Boulder Creek Road, West Jordan, Utah",84081,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"397","La Petite Academy - Cottonwood","6955 South 2300 East, Salt Lake City, Utah",84121,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"398","Creative Learning Academy of Utah","1110 W 3300 S, Salt Lake City, Utah",84119,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"399","Family, Friends & Neighbor","3628 Country West Dr, Magna, Utah",84044,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"400","Elk Run Elementary School","3550 South Helen Drive, Magna, Utah",84044,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"401","Smart Kids II","3868 South 200 East, Salt Lake City, Utah",84115,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"402","Family, Friends & Neighbor","733 W Shadow Wood Dr, Murray, Utah",84123,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"403","Youth City - Ottinger Hall","233 North Canyon Road, Salt Lake City, Utah",84103,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"404","Fairy Godmother's Place","5123 S Huntington Rd, Taylorsville, Utah",84129,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"405","Residential Certified","1914 Lincoln Street, Salt Lake City, Utah",84105,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"406","Barbara's Day Care","5918 South Main Street, Murray, Utah",84107,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"407","Snoopy Day Care","4442 West 6165 South, Kearns, Utah",84118,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"408","World of Wonder Day School","1593 Bluemont Circle, Taylorsville, Utah",84123,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"409","Miss Billies Kids Kampus","232 West 800 South, Salt Lake City, Utah",84101,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"410","Youth City - Liberty Park","210 East 600 South, Salt Lake City, Utah",84111,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"411","Family, Friends & Neighbor","5317 S. Allendale Dr., Murray, Utah",84123,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"412","Challenger School - West Jordan","9424 S 300 W, Sandy, Utah",84070,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"413","Challenger School - Holladay","9424 S 300 W, Sandy, Utah",NA,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"414","Challenger School - Salt Lake","9424 S 300 W, Sandy, Utah",84070,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"415","Challenger School - Sandy","9424 S 300 W, Sandy, Utah",84070,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"416","Residential Certified","4203 W 11430 S, South Jordan, Utah",84009,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"417","Sandy Home Daycare","1135 E Electra Lane, Sandy, Utah",84094,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"418","ABC Great Beginnings-Murray","6006 South 300 West, Murray, Utah",84107,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"419","Salt Lake City Public Library - Day-Riverside Branch","1575 W 1000 N, Salt Lake City, Utah",84116,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"420","Megan-A-Difference","4332 South Early Duke Street, West Valley City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"421","Jordan High School Child Care Lab","95 E Beetdigger Blvd, Sandy, Utah",84070,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"422","Family Licensed","514 N Morton Drive, Salt Lake City, Utah",84116,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"423","Family, Friends & Neighbor","1619 W Liljay Cir, Salt Lake City, Utah",84104,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"424","Learning Tree Southwest","2857 West 7800 South, West Jordan, Utah",84088,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"425","Capitol West Boys & Girls Club Youth Program","PO Box 57071, Murray, Utah",84157,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"426","Promise South Salt Lake- Commonwealth Performing Arts and Youth Entrepreneurial Center","220 E Morris Ave, 3rd Floor, Salt Lake City, Utah",84115,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"427","Lola's Playhouse","4956 South 4055 West, Kearns, Utah",84118,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"428","Family, Friends & Neighbor","2241 E 3370 S, Salt Lake City, Utah",84109,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"429","Diane's Daycare","1157 South Emery Street, Salt Lake City, Utah",84104,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"430","Family, Friends & Neighbor","1402 North General Dr, Salt Lake City, Utah",84116,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"431","Rainbow of Love","5965 W Sugar Bowl Lane, West Valley City, Utah",84128,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"432","Montessori Children's House","1303 South 1100 East, Salt Lake City, Utah",84105,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"433","Little Friends Daycare SLC","1165 W. Brandonwood Dr., Murray, Utah",84123,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"434","Lina's Childcare","6531 South 4015 West, Taylorsville, Utah",84129,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"435","Sandy Club, The - A Safe Place for Boys & Girls","450 East 8680, Sandy, Utah",84070,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"436","Spy Hop Productions","511 W 200 S, Salt Lake City, Utah",84101,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"437","Family, Friends & Neighbor","3717 S Brookeside Dr, West Valley City, Utah",84120,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"438","Jardin de Amor","3676 Christy Hill Way, Taylorsville, Utah",84129,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"439","Family Licensed","3604 South Countrywest Drive, Magna, Utah",84044,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"440","Above & Beyond Child Care","1182 West 2400 South, West Valley City, Utah",84119,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"441","SLCAP Head Start - Salt Lake City (Sunnyside Ave)","1945 East Sunnyside Ave, Salt Lake City, Utah",84108,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"442","SLCAP Head Start - Sandy","9800 S 800 E, Sandy, Utah",84094,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"443","SLCAP Head Start - Kearns (4280 W)","5241 S 4280 W, Kearns, Utah",84118,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"444","SLCAP Head Start - Midvale (7800 S)","217 E 7800 S, Midvale, Utah",84047,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"445","SLCAP Head Start - Midvale (Center St)","362 W Center St, Midvale, Utah",84047,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"446","SLCAP Head Start - Murray","73 W 6100 S, Murray, Utah",84107,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"447","SLCAP Head Start - Riverton (12182 S)","3600 W 12182 S, Riverton, Utah",84065,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"448","SLCAP Head Start - West Valley City (2700 W)","3050 S 2700 W, West Valley City, Utah",84119,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"449","SLCAP Head Start - West Valley City (4100 S)","6447 W 4100 S, West Valley City, Utah",84128,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"450","SLCAP Head Start - West Valley City (Lester)","3060 S Lester, West Valley City, Utah",84119,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"451","SLCAP Head Start - Kearns (4620 W)","4901 S 4620 W, Kearns, Utah",84118,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"452","SLCAP Head Start - Kearns (5570 S)","4430 W 5570 S, Kearns, Utah",84118,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"453","SLCAP Head Start - Riverton (Redwood Rd)","12891 S Redwood R, Riverton, Utah",84065,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"454","SLCAP Head Start - Salt Lake City (900 W)","1307 S 900 W, Salt Lake City, Utah",84104,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"455","SLCAP Head Start - West Jordan (1700 W)","7430 S 1700 W, West Jordan, Utah",84084,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"456","SLCAP Head Start - West Jordan (2370 W)","7220 S 2370 W, West Jordan, Utah",84084,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"457","SLCAP Head Start - West Jordan (3400 W)","8400 S 3400 W, West Jordan, Utah",84088,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"458","Family, Friends & Neighbor","4002 S 1515 W, Salt Lake City, Utah",84123,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"459","Skyline High Preschool","3251 E 3760 S, Salt Lake City, Utah",84109,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"460","Montessori Building Blocks for Life","5218 South Redwood Road, Taylorsville, Utah",84123,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"461","Family Support Center - Sugarhouse","2020 S Lake Street, Salt Lake City, Utah",84105,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"462","Family Support Center -  WVC","3663 S 3600 W, West Valley City, Utah",84119,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"463","Family Licensed","3365 South Diamond Ridge Circle, West Valley City, Utah",84128,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"464","Family Licensed","6257 South Hathaway Street, Taylorsville, Utah",84123,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"465","Family Licensed","4075 South 3515 West, West Valley City, Utah",84119,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"466","The Preschool Playhouse","3173 Jean Street, Magna, Utah",84044,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"467","Caterpillar Clubhouse Daycare","3330 West 5900 South, Taylorsville, Utah",84129,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"468","Family, Friends & Neighbor","3675 Lexington Park Dr., West Valley City, Utah",84119,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"469","Child and Family Development Center","225 s. 1400 e. rm 228, Salt Lake City, Utah",84112,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"470","Promise South Salt Lake - Central Park Community Center","2797 S 200 E, South Salt Lake City, Utah",84115,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"471","Family Licensed","5442 West North Lilac Avenue, West Jordan, Utah",84084,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"472","Family Licensed","8014 South Hillers Drive, West Jordan, Utah",84088,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"473","Family, Friends & Neighbor","6457 S Dixie Dr, West Jordan, Utah",84084,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"474","Family Licensed","2865 W 7085 S, West Jordan, Utah",84084,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"475","Rachel Miller's Daycare","3840 South Main Street, Salt Lake City, Utah",84115,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"476","Family Licensed","1815 Fieldcrest Lane, Holladay, Utah",84117,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"477","Residential Certified","4260 South Chegwidden Lane, Taylorsville, Utah",84123,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"478","Residential Certified","4180 W 3268 S, West Valley City, Utah",84120,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"479","Family Licensed","3913 South 300 East, Salt Lake City, Utah",84107,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"480","Family, Friends & Neighbor","350 S Elizabeth St, Salt Lake City, Utah",84102,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"481","Family Licensed","3917 S 4340 W, West Valley City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"482","Family Licensed","4738 West 3145 South, West Valley City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"483","Learning Tree West","3655 West 2340 South, West Valley City, Utah",84120,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
